SGD Name	symbol	Entry	Protein Level	Phosphorylation	P-Score	Peak	[ST]-P-X-[KR]	[ST]-P
GAP1	GAP1	P19145	100	0	0	S/G2	1	5
VPS67	VPS51	P36116	20	0	0	NA	0	0
YKL222C	NA	P35995	0.1	0	0	NA	0	2
FRE2	FRE2	P36033	0.1	0	0	NA	2	6
FAS1	FAS1	P07149	0.1	0	0	M/G1	1	11
KKQ8	KKQ8	P36004	150	0	0	NA	4	9
MCD4	MCD4	P36051	0.1	0	0	G1	1	9
YKL162C	NA	P36052	50	0	0	NA	2	6
APE2	APE2	P32454	50	0	0	NA	2	5
RSM22	RSM22	P36056	0.1	0	0	NA	0	0
SRP102	SRP102	P36057	100	0	0	NA	0	0
RRN3	RRN3	P36070	0.1	0	0	NA	0	1
YKL105C	SEG2	P34250	0.1	0	0	NA	2	6
MIF2	MIF2	P35201	0.1	0	0	G1	2	6
MDH1	MDH1	P17505	50	0	0	NA	0	3
STB6	STB6	P36085	0.1	0	0	NA	1	4
RGT1	RGT1	P32862	75	0	0	NA	2	12
YKL014C	URB1	P34241	0.1	0	0	NA	1	8
LAC1	LAC1	P28496	25	0	0	S	1	3
BAT2	BAT2	P47176	250	0	0	G1	2	3
CAF17	IBA57	P47158	250	0	0	NA	1	3
IME1	IME1	P21190	0.1	0	0	NA	0	2
BIR1	BIR1	P47134	25	0	0	NA	2	12
YJR085C	TMH11	P47131	10	0	0	NA	0	0
YJR061W	MNN14	P40355	10	0	0	NA	2	8
YJR030C	RBH2	P47101	250	0	0	G1	1	7
VTH2	VTH2	P40890	50	0	0	NA	2	6
YJL217W	REE1	P40893	250	0	0	G1	1	1
YJL207C	LAA1	P39526	100	0	0	NA	2	8
CDC6	CDC6	P09119	0.1	0	0	M/G1	5	8
YJL185C	ATG36	P46983	0.1	0	0	NA	0	3
BCK1	BCK1	Q01389	0.1	0	0	NA	5	30
SIP4	SIP4	P46954	0.1	0	0	NA	0	3
PRY3	PRY3	P47033	0.1	0	0	G1	1	4
ICS3	ICS3	P47034	0.1	0	0	NA	2	3
JEM1	JEM1	P40358	50	0	0	G1	1	4
YJL057C	IKS1	P47042	0.1	0	0	NA	1	4
YJL055W	LOG1	P47044	25	0	0	NA	0	2
YJL051W	IRC8	P47046	50	0	0	G2/M	4	15
YJL049W	CHM7	P47048	150	0	0	NA	0	0
HCA4	HCA4	P20448	1000	0	0	NA	3	5
MPS3	MPS3	P47069	0.1	0	0	G1	1	5
MAD3	MAD3	P47074	0.1	0	0	NA	1	5
YIR014W	VLD1	P40570	0.1	0	0	NA	0	2
DSN1	DSN1	P40568	50	0	0	S/G2	1	6
MPH1	MPH1	P40562	0.1	0	0	NA	1	3
YIL169C	CSS1	P40442	0.1	0	0	NA	0	7
SSL2	SSL2	Q00578	0.1	0	0	NA	0	5
RPL34B	RPL34B	P40525	750	0	0	NA	0	1
DFG10	DFG10	P40526	0.1	0	0	NA	0	0
PIG2	PIG2	P40187	0.1	0	0	NA	0	3
CKA1	CKA1	P15790	2500	0	0	NA	0	1
YIL019W	FAF1	P40546	100	0	0	NA	0	0
FAA3	FAA3	P39002	500	0	0	M/G1	1	4
YHR219W	NA	P38900	0.1	0	0	M/G1	1	1
MDM31	MDM31	P38880	0.1	0	0	NA	0	3
DBP8	DBP8	P38719	100	0	0	NA	2	2
THP2	THP2	O13539	300	0	0	NA	0	0
SPO12	SPO12	P17123	25	0	0	G2/M	0	2
YCK1	YCK1	P23291	0.1	0	0	S/G2	1	3
TRR2	TRR2	P38816	100	0	0	G1	1	2
HXT5	HXT5	P38695	25	0	0	NA	0	4
YHR078W	NA	P38799	0.1	0	0	NA	0	2
YHR036W	BRL1	P38770	0.1	0	0	NA	2	10
MIP6	MIP6	P38760	50	0	0	NA	2	3
YHL042W	NA	P38729	0.1	0	0	NA	0	1
ARN1	ARN1	P38731	0.1	0	0	G2/M	1	4
WSC4	WSC4	P38739	0.1	0	0	G2/M	1	20
YHL026C	NA	P38740	25	0	0	G2/M	1	2
RMD11	NPR3	P38742	20	0	0	NA	2	11
STE20	STE20	Q03497	250	0	0	NA	5	23
ERV29	ERV29	P53337	0.1	0	0	G2/M	0	0
RTT102	RTT102	P53330	250	0	0	NA	0	0
SLH1	SLH1	P53327	0.1	0	0	NA	3	10
APL6	APL6	P46682	0.1	0	0	NA	0	3
PFK1	PFK1	P16861	250	0	0	G2/M	1	6
AMA1	AMA1	P50082	400	0	0	NA	2	8
BUB1	BUB1	P41695	0.1	0	0	G1	3	8
GIR1	RBG2	P53295	0.1	0	0	NA	2	2
YGR160W	NA	P53288	25	0	0	NA	0	1
YGR151C	NA	P53287	0.1	0	0	G1	0	0
YGR146C	ECL1	P48235	500	0	0	G2/M	1	4
SKN1	SKN1	P33336	0.1	0	0	G2/M	1	8
NOP7	NOP7	P53261	0.1	0	0	NA	0	2
YGR031W	IMO32	P53219	350	0	0	NA	0	1
YGR026W	NA	P53217	0.1	0	0	NA	0	3
MTO1	MTO1	P53070	25	0	0	NA	2	5
COG1	COG1	P53079	0.1	0	0	NA	2	5
MDM34	MDM34	P53083	0.1	0	0	NA	1	8
MDS3	MDS3	P53094	0.1	0	0	NA	4	21
GCN1	GCN1	P33892	0.1	0	0	G1	1	12
YGL176C	NA	P46945	0.1	0	0	NA	2	4
SPO74	SPO74	P45819	100	0	0	NA	2	5
YGL160W	AIM14	P53109	0.1	0	0	NA	3	6
NUT1	NUT1	P53114	100	0	0	NA	1	11
ROG1	ROG1	P53118	0.1	0	0	NA	1	7
PRP43	PRP43	P53131	10	0	0	NA	0	5
SPC105	SPC105	P53148	0.1	0	0	G1	3	6
NBP35	NBP35	P52920	0.1	0	0	NA	0	4
LIF1	LIF1	P53150	1000	925	0	M/G1	1	1
DBP3	DBP3	P20447	300	0	0	NA	2	3
RPB9	RPB9	P27999	75	0	0	NA	0	1
MRH4	MRH4	P53166	0.1	0	0	NA	3	9
OCH1	OCH1	P31755	50	0	0	G1	1	3
CWH41	CWH41	P53008	10	0	0	G1	0	4
ALK1	ALK1	P43633	0.1	0	0	G2/M	1	5
IOC3	IOC3	P43596	100	0	0	NA	0	4
RIM15	RIM15	P43565	0.1	0	0	NA	3	38
YRF1-2	YRF1-2	P40105	400	0	0	G1	2	4
DMC1	DMC1	P25453	250	0	0	NA	0	1
BRR2	BRR2	P32639	0.1	0	0	NA	2	11
PAB1	PAB1	P04147	250	0	0	NA	1	3
CHD1	CHD1	P32657	0.1	0	0	NA	3	13
SPT2	SPT2	P06843	100	0	0	NA	0	2
BOI2	BOI2	P39969	0.1	0	0	NA	3	20
YER113C	TMN3	P40071	15	0	0	NA	0	3
ZRG8	ZRG8	P40021	0.1	0	0	NA	6	26
YEL076C	NA	P39971	0.1	0	0	G1	1	2
CIN8	CIN8	P27895	0.1	0	0	S	2	5
MAK10	MAK10	Q02197	0.1	0	0	NA	2	3
UTR2	UTR2	P32623	10	0	0	M/G1	1	1
UTR5	UTR5	P32630	250	0	0	NA	2	2
SRI1	NA	P39991	0.1	0	0	G2/M	1	1
HLR1	HLR1	Q04429	2500	0	0	G1	3	9
AGE1	AGE1	Q04412	100	0	0	NA	0	4
YDR466W	PKH3	Q03306	0.1	0	0	NA	3	12
YHP1	YHP1	Q04116	100	0	0	S	2	13
SSN2	SSN2	P38931	0.1	0	0	NA	4	19
NPL3	NPL3	Q01560	500	0	0	G2/M	1	3
ERD1	ERD1	P16151	0.1	0	0	NA	0	1
TRS120	TRS120	Q04183	25	0	0	NA	2	14
CTS2	CTS2	Q06350	0.1	0	0	NA	1	2
XRS2	XRS2	P33301	2.5	0	0	NA	2	8
YDR355C	NA	P87285	0.1	0	0	S	0	1
SBE2	SBE2	P42223	0.1	0	0	NA	2	7
SUR2	SUR2	P38992	100	0	0	G1	0	0
COX20	COX20	Q04935	50	0	0	NA	2	2
ADR1	ADR1	P07248	0.1	0	0	NA	2	14
CDC1	CDC1	P40986	0.1	0	0	NA	0	0
CSN9	CSN9	Q03981	50	0	0	NA	0	0
SEC1	SEC1	P30619	100	0	0	NA	2	5
SAC3	SAC3	P46674	0.1	0	0	NA	3	16
NUM1	NUM1	Q00402	0.1	0	0	S/G2	2	8
SAN1	SAN1	P22470	0.1	0	0	NA	2	7
YDR131C	NA	Q03899	100	0	0	NA	2	4
YDR128W	MTC5	Q03897	0.1	0	0	NA	2	11
GRX3	GRX3	Q03835	300	0	0	NA	0	1
AFR1	AFR1	P33304	0.1	0	0	M/G1	1	3
VPS41	VPS41	P38959	0.1	0	0	NA	2	4
SHU2	SHU2	P38957	200	0	0	NA	0	0
IPT1	IPT1	P38954	0.1	0	0	NA	0	3
YDR061W	NA	Q12298	1000	0	0	NA	0	4
TGL2	TGL2	P54857	75	0	0	NA	2	4
HEM13	HEM13	P11353	5000	0	0	NA	0	4
GAL3	GAL3	P13045	1500	0	0	NA	3	4
TFP1	VMA1	P17255	10	0	0	NA	2	5
YDL180W	NA	Q12301	10	0	0	G2/M	1	5
DLD2	DLD2	P46681	100	0	0	NA	0	2
NRP1	NRP1	P32770	0.1	0	0	NA	0	9
STE7	STE7	P06784	50	0	0	NA	2	10
DUN1	DUN1	P39009	250	0	0	G1	0	2
PSA1	PSA1	P41940	5000	0	0	G1	0	2
DBP10	DBP10	Q12389	150	0	0	NA	2	5
KIN82	KIN82	P25341	100	0	0	NA	2	11
IMG2	IMG2	P25642	100	0	0	NA	0	0
TAF2	TAF2	P23255	0.1	0	0	G2/M	1	12
YCR041W	NA	P37265	30	0	0	G2/M	1	1
SNT1	SNT1	P25357	0.1	0	0	NA	4	16
FEN2	FEN2	P25621	0.1	0	0	NA	0	0
HSP30	HSP30	P25619	0.1	0	0	NA	0	1
ADP1	ADP1	P25371	0.1	0	0	NA	2	7
HMLALPHA2	HMLALPHA2	P0CY09	0.1	0	0	NA	0	0
YCL065W	NA	P37264	50	0	0	G2/M	1	1
GLK1	GLK1	P17709	2000	0	0	M/G1	1	5
GFD2	GFD2	P25370	400	0	0	NA	0	3
KCC4	KCC4	P25389	100	0	0	G1	2	10
YCL019W	NA	P25384	10	0	0	NA	2	18
PHO89	PHO89	P38361	0.1	0	0	M/G1	1	2
RIF1	RIF1	P29539	0.1	0	0	NA	4	21
YBR255W	MTC4	P38335	50	0	0	NA	2	7
ALG7	ALG7	P07286	150	0	0	S/G2	0	0
YBP1	YBP1	P38315	75	0	0	NA	1	3
YBR204C	LDH1	P38139	10	0	0	M/G1	1	1
PCH2	PCH2	P38126	50	0	0	NA	0	0
RPS6B	RPS6B	P0CX38	0.1	0	0	NA	1	1
SLI15	SLI15	P38283	0.1	0	0	NA	7	19
MAK5	MAK5	P38112	50	0	0	NA	2	4
YBR139W	ATG42	P38109	50	0	0	G2/M	0	0
YBR094W	PBY1	P38254	0.1	0	0	G2/M	1	5
AAC3	AAC3	P18238	0.1	0	0	NA	0	1
ATP3	ATP3	P38077	50	0	0	NA	0	1
YBR013C	NA	P38215	0.1	0	0	NA	0	0
YBR007C	DSF2	P38213	0.1	0	0	G1	2	8
YBL055C	NA	P34220	0.1	0	0	NA	2	3
SAS3	SAS3	P34218	0.1	0	0	S/G2	2	5
YBL046W	PSY4	P38193	50	0	0	NA	2	6
CDC15	CDC15	P27636	0.1	0	0	NA	5	10
SEN34	SEN34	P39707	100	0	0	G1	0	1
FUN19	FUN19	P28003	500	0	0	NA	2	17
DRS2	DRS2	P39524	10	0	0	NA	2	8
MAK16	MAK16	P10962	25	0	0	NA	2	2
FUN26	FUN26	P31381	2.5	0	0	G2/M	1	1
ATS1	ATS1	P31386	300	269	0	NA	1	1
PSK1	PSK1	P31374	0.1	0	0	NA	4	15
SSA1	SSA1	P10591	0.1	0	0	NA	0	2
YHL039W	EFM1	P38732	1000	809	-0.1	NA	0	2
YMR233W	TRI1	Q05024	1000	672	-0.2	NA	2	3
MDG1	MDG1	P53885	500	246	-0.3	M/G1	1	2
YML108W	NA	Q03759	2500	1175	-0.3	NA	0	0
EMI2	EMI2	Q04409	2000	1003	-0.3	NA	0	3
GUK1	GUK1	P15454	10000	4795	-0.3	NA	0	1
CAR1	CAR1	P00812	10000	3664	-0.4	G2/M	2	3
YGP1	YGP1	P38616	1000	395	-0.4	M/G1	1	5
AFG2	AFG2	P32794	5000	2138	-0.4	NA	2	4
SHM2	SHM2	P37291	5000	2159	-0.4	S/G2	1	5
SNO4	SNO4	Q04902	750	259	-0.5	NA	1	1
NIT3	NIT3	P49954	3000	914	-0.5	NA	2	4
GND2	GND2	P53319	5000	1561	-0.5	NA	0	1
ADE2	ADE2	P21264	3500	810	-0.6	NA	2	5
FAS2	FAS2	P19097	500	106	-0.7	NA	2	14
EMI5	SDH5	Q08230	200	43	-0.7	NA	0	1
MET13	MET13	P53128	400	81	-0.7	S	0	4
YPL141C	FRK1	Q03002	40	5	-0.9	S/G2	3	15
RAD27	RAD27	P26793	5000	655	-0.9	G1	1	2
SNZ3	SNZ3	P43545	5000	633	-0.9	NA	0	3
CMK2	CMK2	P22517	500	30	-1.2	G1	0	2
MET14	MET14	Q02196	10000	594	-1.2	S	1	1
SOL4	SOL4	P53315	5000	343	-1.2	NA	0	1
YBR137W	NA	P38276	5000	119	-1.6	NA	0	1
